game;len;score1;score2;score3;score4;fr;lenma
10;349;180;234;170;330;3;0
20;297;130;226;130;330;2,2;0
30;335;200;222,3;130;380;2;0
40;607;290;218,8;80;380;2,5;0
50;401;190;214,8;80;410;1,3;0
60;439;360;223;80;410;1,1;0
70;359;300;223,7;80;410;0,8;0
80;335;230;224;80;410;0,6;0
90;403;160;226,3;80;410;0,6;0
100;525;430;230,9;80;430;0,7;0
110;305;290;229,1;80;430;0,4;0
120;359;230;227,9;80;430;0,4;0
130;255;180;233,5;80;500;0,3;0
140;357;140;244,8;90;730;0,3;0
150;349;150;249,8;100;730;0,3;0
160;395;270;250,4;100;730;0,3;0
170;389;300;255,6;100;730;0,3;0
180;509;390;259,5;120;730;0,4;0
190;353;230;258,5;120;730;0,3;0
200;383;280;260,4;120;730;0,3;385,2
210;275;170;263,1;110;730;0,2;381,5
220;413;250;267,8;110;730;0,3;387,3
230;223;130;265,8;110;730;0,1;381,7
240;373;280;260;110;620;0,2;370
250;385;170;257,5;110;620;0,2;369,2
260;295;220;254,1;110;620;0,2;362
270;251;160;258,1;110;1060;0,1;356,6
280;383;210;256,3;110;1060;0,2;359
290;379;360;258,8;110;1060;0,2;357,8
300;381;160;255,5;110;1060;0,2;350,6
310;399;240;254,4;120;1060;0,2;355,3
320;371;280;253,7;120;1060;0,2;355,9
330;391;290;259,1;120;1060;0,2;362,7
340;337;160;256,2;120;1060;0,1;361,7
350;357;160;260,7;120;1060;0,1;362,1
360;379;260;264,6;120;1060;0,1;361,3
370;375;300;259,2;100;890;0,1;360,6
380;431;200;253,4;100;890;0,2;356,7
390;319;210;251,9;100;890;0,1;355
400;331;150;248,5;100;890;0,1;352,4
410;537;360;253,1;100;890;0,2;365,5
420;353;180;256,8;100;890;0,1;362,5
430;465;260;251,7;100;610;0,1;374,6
440;363;170;257,7;100;640;0,1;374,1
450;345;270;251,1;100;640;0,1;372,1
460;373;210;245,6;100;640;0,1;376
470;515;690;253,2;130;690;0,1;389,2
480;425;240;257,5;130;690;0,1;391,3
490;293;230;254,4;130;690;0,1;387
500;445;280;257,2;130;690;0,1;390,2
510;379;230;254,9;130;690;0,1;389,2
520;391;280;250,3;130;690;0,1;390,2
530;337;120;251,6;120;690;0,1;387,5
540;533;420;250;120;690;0,1;397,3
550;369;250;252,4;110;690;0,1;397,9
560;355;130;250,8;110;690;0,1;396,7
570;433;310;245,4;110;720;0,1;399,6
580;315;220;248,9;110;720;0,1;393,8
590;299;160;258,6;110;720;0,1;392,8
600;343;140;264,5;110;740;0,1;393,4
610;323;210;265,1;110;740;0,1;382,7
620;237;210;268,4;110;740;0,1;376,9
630;403;240;266,6;110;740;0,1;373,8
640;503;610;264,7;110;740;0,1;380,8
650;359;250;269,7;110;740;0,1;381,5
660;305;210;281,2;110;1050;0,1;378,1
670;341;250;281,8;120;1050;0,1;369,4
680;275;170;283,4;120;1050;0,1;361,9
690;343;210;276,8;120;1050;0,1;364,4
700;387;280;282;120;1120;0,1;361,5
710;381;300;278,3;130;1120;0,1;361,6
720;269;220;278,2;140;1120;0;355,5
730;351;250;286,3;140;1120;0,1;356,2
740;347;310;285,4;140;1120;0,1;346,9
750;381;260;284,4;140;1120;0,1;347,5
760;275;240;275,9;140;1120;0;343,5
770;381;190;274;140;1120;0,1;340,9
780;373;220;270,5;140;1120;0,1;343,8
790;359;280;274,9;140;1120;0,1;346,8
800;347;250;264,8;140;760;0,1;347
810;343;210;267,5;140;760;0,1;348
820;209;210;265,5;140;760;0;346,6
830;619;390;259,3;140;680;0,1;357,4
840;229;240;259,4;140;680;0;343,7
850;335;260;271,1;140;1050;0,1;342,5
860;349;290;274,6;150;1050;0,1;344,7
870;331;230;275,6;140;1050;0;344,2
880;339;260;282,5;140;1050;0;347,4
890;351;190;281,7;120;1050;0,1;347,8
900;357;230;283,5;120;1050;0,1;346,3
910;261;170;285,2;120;1050;0;340,3
920;433;300;286,6;120;1050;0,1;348,5
930;335;230;282,9;120;1050;0;347,7
940;469;290;286,3;120;1050;0,1;353,8
950;359;280;272,8;120;900;0;352,7
960;211;170;271,9;120;900;0;349,5
970;397;220;274,7;120;900;0,1;350,3
980;373;280;267,2;120;900;0;350,3
990;655;440;266,9;120;730;0,1;365,1
1000;329;220;260,8;120;730;0;364,2
1010;415;270;262,2;120;730;0,1;367,8
1020;309;200;261,9;120;730;0;372,8
1030;613;490;264,9;120;730;0,1;372,5
1040;385;240;264,4;120;730;0;380,3
1050;425;360;270,2;120;730;0,1;384,8
1060;271;190;271,6;120;730;0;380,9
1070;333;260;264,8;120;600;0;381
1080;573;340;265,7;120;600;0,1;392,7
1090;655;400;273,3;120;640;0,1;407,9
1100;367;240;280,6;140;640;0;408,4
1110;391;390;279,7;140;640;0;414,9
1120;279;200;296;140;850;0;407,2
1130;441;250;298;140;850;0;412,5
1140;369;210;308,6;140;1090;0;407,5
1150;487;410;308,6;140;1090;0,1;413,9
1160;379;300;307,4;140;1090;0;422,3
1170;361;270;322,9;140;1090;0;420,5
1180;325;200;321,1;140;1090;0;418,1
1190;535;430;318;140;1090;0,1;412,1
