step;game1;game2;avg_loss;per_ab1;per_ab2;avg_l;min_l;max_l;max_weight;sum_total;memory;fr;epsilon;avglossma
0;4;28;4,76799;0,6;0,4;0,125;0,063;1;13,133;1262,1;10112;0;1;1,7933953
100;404;29;3,84456;0,6;0,4;0,125;0,063;1;13,133;1778,4;10496;12,7;1;1,7558724
200;804;30;3,27187;0,6;0,4;0,125;0,063;1;13,133;2026,5;10880;11,8;1;1,7351095
300;1204;31;2,95484;0,6;0,4;0,125;0,063;1;13,133;2220,4;11264;11,8;1;1,7195248
400;1604;32;2,83307;0,6;0,4;0,125;0,063;1;13,133;2366,3;11648;12,2;1;1,7065971
500;2004;33;2,77944;0,6;0,4;0,125;0,063;1;13,133;2518,2;12032;12,9;1;1,6968914
600;2404;34;2,68638;0,6;0,4;0,125;0,063;1;13,133;2634,6;12416;12,4;1;1,6873056
700;2804;35;2,6825;0,6;0,4;0,125;0,063;1;13,133;2738,3;12800;12,5;1;1,6829544
800;3204;36;2,5407;0,6;0,4;0,125;0,063;1;13,133;2869;13184;11,4;1;1,6754695
900;3604;38;2,48232;0,6;0,4;0,125;0,063;1;13,133;3016,6;13696;12,1;1;1,6692906
1000;4004;39;2,51097;0,6;0,4;0,125;0,063;1;13,133;3170,7;14080;12;1;1,6616575
1100;4404;39;2,39565;0,6;0,4;0,125;0,063;1;13,133;3136,4;14464;12,5;1;1,6545811
1200;4804;40;2,34314;0,6;0,4;0,125;0,063;1;13,133;3108,9;14848;12,4;1;1,6487794
1300;5204;41;2,27702;0,6;0,4;0,125;0,063;1;13,133;3051,2;15232;12,8;1;1,6426432
1400;5604;42;2,41045;0,6;0,4;0,125;0,063;1;13,133;3096,8;15616;12,2;1;1,6369302
1500;6004;43;2,36548;0,6;0,4;0,125;0,063;1;13,133;3188,3;16000;12,6;1;1,630611
1600;6404;45;2,38563;0,6;0,4;0,125;0,063;1;13,133;3261,8;16384;12,4;1;1,6238191
1700;6804;46;2,26602;0,6;0,4;0,125;0,063;1;13,133;3341,3;16896;11,1;1;1,6162277
1800;7204;47;2,12802;0,6;0,4;0,125;0,063;1;13,133;3344;17280;12,4;1;1,60943
1900;7604;48;2,22267;0,6;0,4;0,125;0,063;1;13,133;3416,6;17664;12,2;1;1,6045625
2000;8004;49;2,0885;0,6;0,4;0,125;0,063;1;13,133;3435,5;18048;11,5;1;1,5987869
2100;8404;50;2,13982;0,6;0,4;0,125;0,063;1;13,133;3445,6;18432;11,8;1;1,5927469
2200;8804;51;2,14713;0,6;0,4;0,125;0,063;1;13,133;3478,8;18816;12,8;1;1,586945
2300;9204;52;2,10478;0,6;0,4;0,125;0,063;1;13,133;3543,6;19200;12,2;1;1,5806442
2400;9604;53;1,99742;0,6;0,4;0,125;0,063;1;13,133;3547,5;19584;12,6;1;1,5747887
2500;10004;54;2,01556;0,6;0,4;0,125;0,063;1;13,133;3593,1;19968;11,5;1;1,569949
2600;10404;55;1,96014;0,6;0,4;0,125;0,063;1;13,133;3615,1;20480;13,2;1;1,5643492
2700;10804;56;1,98932;0,6;0,4;0,125;0,063;1;13,133;3668,7;20864;13,1;1;1,559029
2800;11204;58;1,96268;0,6;0,4;0,125;0,063;1;13,133;3679,1;21248;13,5;1;1,5543548
2900;11604;58;1,86867;0,6;0,4;0,125;0,063;1;13,133;3707,2;21632;14,1;1;1,5501514
3000;12004;59;1,92477;0,6;0,4;0,125;0,063;1;13,133;3774,6;22016;13,3;1;1,5466667
3100;12404;60;1,83168;0,6;0,4;0,125;0,063;1;13,133;3791,7;22400;13,4;1;1,5418081
3200;12804;62;1,78432;0,6;0,4;0,125;0,063;1;13,133;3817,1;22784;13,1;1;1,5374212
3300;13204;63;1,84273;0,6;0,4;0,125;0,063;1;13,133;3839,9;23168;11,5;1;1,5339178
3400;13604;64;1,71186;0,6;0,4;0,125;0,063;1;13,133;3854,5;23552;11,5;1;1,5299515
3500;14004;65;1,77105;0,6;0,4;0,125;0,063;1;13,133;3909,5;24064;11,9;1;1,5275312
